algo,param,k,sample_size,noise_ratio,inertia,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type,AMI_type,V_type,ARI_label,AMI_label,V_label,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size
KMeans,k=33,33,20000,0.0,471629.936351638,0.4198772788956222,1.7575967812114845,688.184612194362,20000,33,0.3230963615995431,0.6044411886650133,0.6055394667338608,0.04510420949110329,0.22115659892986944,0.22149681735720986,15,47.32,0,1,2533
KMeans,k=34,34,20000,0.0,420153.48876780336,0.4552458756408907,1.3186561834156487,821.887250172867,20000,34,0.3290278968814588,0.6166242248585665,0.6177249402395486,0.06316545908687865,0.23624027466315176,0.23658553239068453,39,70.35,0,1,3850
KMeans,k=35,35,20000,0.0,415024.43758492987,0.47401439267299267,1.3575520645869226,820.1595772479242,20000,35,0.3281454622624422,0.6154566682438227,0.6165723326966678,0.05693823970708875,0.2416982275395829,0.24204225267578142,68,69.36,0,0,2870
KMeans,k=36,36,20000,0.0,404647.55845055834,0.49279907894000746,1.4593282538783705,829.1995243523835,20000,36,0.3696389699822852,0.6354990453230324,0.6365866907487591,0.05962052575326119,0.25364619066577504,0.25399367737522177,116,122.3,0,0,2762
KMeans,k=37,37,20000,0.0,399177.175078774,0.4824679235620133,1.3819039228817622,825.4198344793755,20000,37,0.3294079170120524,0.6149345565911996,0.6161050555222094,0.05092799400171023,0.23187313749629673,0.23223597866872653,117,123.12,0,0,2711
KMeans,k=38,38,20000,0.0,399833.5469871572,0.4725430433770251,1.3917285194295819,803.5093431359551,20000,38,0.3276020890525299,0.6129724185946364,0.6141825255715979,0.056438411770179026,0.24299454086941097,0.2433627365686512,72,79.77,0,0,2907
KMeans,k=39,39,20000,0.0,360244.82429844316,0.4910596609178885,1.190516125914066,932.6917999792453,20000,39,0.32753040252312887,0.6151715378577713,0.6163928554475965,0.04572224977670012,0.23321954708489726,0.2335963367165122,39,61.8,0,1,1843
KMeans,k=40,40,20000,0.0,368996.04482469085,0.4975181795989107,1.3922096210362624,872.2706480025751,20000,40,0.3258868170913986,0.6275046235107306,0.6287013241251916,0.04421466076055146,0.2418708226225376,0.2422458041064176,39,55.379999999999995,0,1,1806
KMeans,k=41,41,20000,0.0,354146.4108442917,0.5295341398939402,1.21262518806752,901.1392497432582,20000,41,0.3123164130133534,0.6176230943867695,0.6188919123131827,0.053071253634470704,0.24151008213647673,0.24189828957093001,72,96.8,0,0,2927
KMeans,k=42,42,20000,0.0,347205.8356219087,0.4942892340406405,1.5962204534191198,903.7951806204188,20000,42,0.31489304762611287,0.620293107334536,0.6215718139580356,0.04209356889187299,0.23246739339996952,0.23286482382948662,39,52.53,0,1,1829
KMeans,k=43,43,20000,0.0,352943.6512943059,0.4978662844134317,1.4359072212064379,884.4635843256915,20000,43,0.3406713032383678,0.6299509029327878,0.631237831239682,0.04706150382046337,0.24198023178781244,0.2423871218307971,11,25.28,0,2,1866
KMeans,k=44,44,20000,0.0,338835.9446099634,0.5429917030236263,1.4664938388526898,908.6023081315259,20000,44,0.338852035780214,0.6326845894362148,0.6339874942790508,0.053655979039469705,0.24396427453373926,0.24437683507404628,66,81.05,0,0,2940
KMeans,k=45,45,20000,0.0,327658.1442457873,0.5502473753529342,1.2503026517777927,921.9906748234717,20000,45,0.33699580400174495,0.6320769997173183,0.6333978965960774,0.04723793683774214,0.2288698061977949,0.22930028700852978,2,18.28,1,2,2493
KMeans,k=46,46,20000,0.0,324581.208637617,0.5196534654796102,1.157435545969381,931.5279267694104,20000,45,0.30860743121004447,0.6176866875744844,0.6190461337946586,0.03838789872551289,0.23848923981954714,0.23890291333921831,11,23.32,0,2,1542
KMeans,k=47,47,20000,0.0,329396.42990867235,0.5321287979524595,1.2425365928535927,872.7662951601939,20000,47,0.29895128179885294,0.6309329728888186,0.6323074143278886,0.04698916963441345,0.24708787302821827,0.24751599562008125,39,46.82,0,1,2672
KMeans,k=48,48,20000,0.0,318493.9890341005,0.5610242701211513,1.524342699642218,901.6725214318208,20000,48,0.30373196496392985,0.637130805538061,0.6385077940603353,0.046723108060545505,0.2441836040840039,0.2446210012086437,39,52.16,0,1,2669
KMeans,k=49,49,20000,0.0,299961.53199151973,0.517227926708735,1.2950841794372476,956.2940161850858,20000,49,0.2997025186438176,0.62088253622271,0.6223340751436366,0.036925789402896037,0.2313236990201532,0.23177089102323417,39,49.56,0,1,1525
KMeans,k=50,50,20000,0.0,305959.36482466216,0.5756030276754811,1.5647966366160455,915.5056961202941,20000,50,0.3170047114190984,0.637945071120176,0.6393791437886043,0.04678796678953433,0.24553390718640514,0.24599001306827056,11,20.310000000000002,0,3,2561
KMeans,k=51,51,20000,0.0,301843.59739855706,0.5431655015470371,1.3545059077245793,923.5074741251567,20000,51,0.3081821824425848,0.6310748973386127,0.6325446472520145,0.038040088878958773,0.23835782229686517,0.23881892901445176,39,40.5,0,2,1502
KMeans,k=52,52,20000,0.0,285969.4648567459,0.5590989929215154,1.1607672775355893,971.5438209950499,20000,52,0.2920499469924421,0.6213918558340179,0.6229245881684411,0.03822444791051839,0.23823674354449614,0.2387043288029134,35,37.04,0,2,1772
KMeans,k=53,53,20000,0.0,298836.9340080002,0.5581253891835172,1.29124146370141,893.8302284167348,20000,53,0.3105617283466841,0.6279666592585305,0.6295115251071237,0.038996441966554454,0.23154896082513673,0.23203424215509352,15,27.48,0,2,1768
KMeans,k=54,54,20000,0.0,281104.0064066376,0.5397265764480697,1.2198879123460589,952.3920089034751,20000,54,0.2712254314607426,0.608119583012177,0.6097441034606802,0.03191296547047982,0.23004372446223956,0.2305253639167084,39,45.89,0,1,970
KMeans,k=55,55,20000,0.0,254233.98004277443,0.6124209600992404,1.1128820059443179,1070.5658408320874,20000,55,0.3203330479018033,0.6345159376914936,0.6360921636791624,0.045022567139754215,0.2418379630209142,0.24233520375927056,35,37.16,0,2,2412
KMeans,k=56,56,20000,0.0,271219.24055807677,0.5526057401018516,1.3455984438576216,972.0553230627988,20000,56,0.3025036018101599,0.6166618567873919,0.6183436846119915,0.039767062698425185,0.23204143097486318,0.2325543026102473,11,24.200000000000003,0,3,1823
KMeans,k=57,57,20000,0.0,261344.61180643048,0.5713340343905693,1.2238324847030553,994.9235350217313,20000,57,0.30360091840607084,0.6273977617097742,0.6290397992911247,0.037638693741996965,0.23592602175202873,0.23643557222530842,39,47.4,0,1,1646
KMeans,k=58,58,20000,0.0,251168.83226806318,0.57319619799863,1.1960995069038984,1040.0943027421583,20000,58,0.2703425933993374,0.6183515430368514,0.620048089169196,0.033895572436757844,0.2314581545117212,0.2319747024598217,6,22.53,1,3,1579
KMeans,k=59,59,20000,0.0,253502.4453330014,0.563759418897602,1.29230481574483,1011.8462001188485,20000,59,0.30203544754185985,0.625948118187639,0.6276447212649038,0.03467305905103745,0.2312077382269249,0.23173451318779617,35,36.74,0,4,1494
KMeans,k=60,60,20000,0.0,261396.19890352333,0.5652523113125891,1.2504497201788605,950.7498379078876,20000,60,0.29500757914360703,0.6179026716105863,0.6196629970441871,0.037035865395018866,0.22928756655911436,0.229832463697,1,4.54,2,4,1523
